indicator_section_code;indicator_section;indicator_code;indicator_name;region_id;region_name;mun_level;mun_district;municipality;oktmo;mun_type;mun_type_oktmo;oktmo_stable;oktmo_history;oktmo_year_from;oktmo_year_to;year;indicator_value;indicator_unit;indicator_period;comment
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2006;754.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2007;1442.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2008;1133.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2009;1114.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2010;969.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2011;894.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2012;790.0;Единица;Январь-июнь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2012;824.0;Единица;Январь-сентябрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2012;750.0;Единица;Январь-март;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2012;884.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2013;734.0;Единица;Январь-сентябрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2013;689.0;Единица;Январь-март;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2013;798.0;Единица;Январь-декабрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2013;710.0;Единица;Январь-июнь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2014;608.0;Единица;Январь-июнь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2014;629.0;Единица;Январь-сентябрь;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование верхнего уровня;Алейский муниципальный район;Алейский муниципальный район;01601000;Муниципальный район;Муниципальный район;01601000;Без изменений;2010;2025;2014;592.0;Единица;Январь-март;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование нижнего уровня;Алейский муниципальный район;Алейский сельсовет;01601402;Сельское поселение;Сельское поселение;CD;CD;CD;CD;2007;63.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование нижнего уровня;Алейский муниципальный район;Алейский сельсовет;01601402;Сельское поселение;Сельское поселение;CD;CD;CD;CD;2008;46.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование нижнего уровня;Алейский муниципальный район;Александровский сельсовет;01601404;Сельское поселение;Сельское поселение;CD;CD;CD;CD;2007;35.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование нижнего уровня;Алейский муниципальный район;Александровский сельсовет;01601404;Сельское поселение;Сельское поселение;CD;CD;CD;CD;2008;20.0;Единица;Значение показателя за год;CD
12;Социальная поддержка населения;Y48012001;Число семей, получавших субсидии на оплату жилого помещения и коммунальных услуг;01;Алтайский край;Муниципальное образование нижнего уровня;Алейский муниципальный район;Безголосовский сельсовет;01601408;Сельское поселение;Сельское поселение;CD;CD;CD;CD;2007;45.0;Единица;Значение показателя за год;CD
