indicator_section_code;indicator_section;indicator_code;indicator_name;okved2;strmash;proisv;region_id;region_name;mun_level;mun_district;municipality;oktmo;mun_type;mun_type_oktmo;oktmo_stable;oktmo_history;oktmo_year_from;oktmo_year_to;year;indicator_value;indicator_unit;indicator_period;comment
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Краны передвижные;CD;01;Алтайский край;Муниципальное образование верхнего уровня;Город Барнаул;Город Барнаул;01701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;01701000;Без изменений;2010;2025;2024;33.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Бульдозеры и бульдозеры с поворотным отвалом;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Тихорецкий муниципальный район;Тихорецкий муниципальный район;03654000;Муниципальный район;Муниципальный район;03654000;Без изменений;2010;2025;2024;12.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Экскаваторы самоходные одноковшовые;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Тихорецкий муниципальный район;Тихорецкий муниципальный район;03654000;Муниципальный район;Муниципальный район;03654000;Без изменений;2010;2025;2024;15.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Катки дорожные самоходные;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;65.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Краны передвижные;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;37.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Автокраны;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;70.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Бульдозеры и бульдозеры с поворотным отвалом;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;19.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Работы строительные специализированные;Машины бурильные;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;20.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Работы строительные специализированные;Погрузчики одноковшовые самоходные;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;21.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Экскаваторы самоходные одноковшовые;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;27.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Работы строительные специализированные;Автокраны;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;62.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Автокраны;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;29.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Погрузчики одноковшовые самоходные;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;41.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство зданий;Бетономешалки или растворосмесители;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;18.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Работы строительные специализированные;Бетономешалки или растворосмесители;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;11.0;Штука;Значение показателя за год;CD
44;Наличие основных строительных машин;Y49010010;Наличие основных строительных машин;Строительство инженерных сооружений;Бетономешалки или растворосмесители;CD;03;Краснодарский край;Муниципальное образование верхнего уровня;Город Краснодар;Город Краснодар;03701000;Городской округ, городской округ с внутригородским делением;Городской округ, городской округ с внутригородским делением;03701000;Без изменений;2010;2025;2024;8.0;Штука;Значение показателя за год;CD
